name,price,composition,category,gender,description,img_url,url,scrapped-at
CALÇA FEMININA SKINNY HOT PANTS BARRA DESFIADA PLUS SIZE,243.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Pense frontal e barra desfiada Lavação destroyed Fechamento com zíper e botão Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_barra_desfiada_plus_size_96060287_1_3495467897f950f7b389bd8365761e98.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-hot-pants-barra-desfiada-plus-size,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS BARRA DESFIADA,232.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Pense frontal e barra desfiada Lavação destroyed Fechamento com zíper e botão Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_barra_desfiada_96060282_1_8725bb2daa2a238db2b476fe8f1aec94.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-hot-pants-barra-desfiada,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS,237.90,3% elastano 5% poliéster 92% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Lavação estonada que realça a cor ficando bem jeans Fechamento zípper e botão Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_96060306_1_413eaed5d19e58905d37ebb4542ad0af.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-hot-pants,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS,182.90,26% poliester 3% elastano 71% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Lavação amaciada Bordado delicado no bolso traseiro Fechamento com zíper e botão Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_96060895_1_6be69f31a9564802ee0424764322a7f1.jpg,https://www.daksuljeans.com.br/feminino/calca/hot-pants/calca-feminina-skinny-hot-pants,11-04-2022
CALÇA FEMININA SKINNY ALTA,254.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça Skinny  Cintura Alta  Leves puídos  Cordão no cós  Fechamento com botão e zíper Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_96060932_1_9e605e180046b18b6c8ddc98ded45e58.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-nbsp,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS RECORTE FRONTAL PLUS SIZE,239.90,3% elastano 97% algodão,CALÇA,FEMININO,"Calça feminina Modelagem skinny hot pants Lavação amaciada Recorte frontal, lindo detalhe Detalhes de duas agulhas no cós Modelo veste 46",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_recorte_frontal_plus_size_96061361_1_757d4f0afa1c179468175a5aaa787f3e.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-hot-pants-recorte-frontal-plus-size,11-04-2022
CALÇA FEMININA WHIDE LEG PANTACURT PLUS SIZE,230.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça Pantacurt  Cintura Alta  Lavação Vintage  Cordão no cós  Fechamento com botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_pantacurt_96060797_1_19ef3cdf096fd8f73d3a35bb07e5cd55.jpg,https://www.daksuljeans.com.br/feminino/calca/pantacurt/calca-feminina-whide-leg-pantacurt-,11-04-2022
CALÇA FEMININA WHIDE LEG PANTACURT,219.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça Pantacurt  Cintura Alta  Lavação Vintage  Cordão no cós  Fechamento com botão e zíper Modelo veste 38,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_pantacurt_96060160_1_8c11b21201d94faf7389b0ff962906ef.jpg,https://www.daksuljeans.com.br/feminino/calca/pantacurt/calca-feminina-whide-leg-pantacurt,11-04-2022
CALÇA FEMININA WHIDE LEG FIT PLUS SIZE,243.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça feminina whide leg Modelagem whide leg Sarja Fechamento com botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_fit_plus_size_96060645_1_cdebda847a6a6335fb9154aadbc536b8.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-whide-leg-fit-plus-size,11-04-2022
CALÇA FEMININA WHIDE LEG FIT COM RASGO NO JOELHO JEANS CLARA,248.90,2% elastano 98% algodão,CALÇA,FEMININO,Calça Wide Leg Fit  Cintura Alta  Rasgo no joelhol  Barra desfiada  Fechamento com botão e zíper Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_whide_leg_fit_com_rasgo_no_joelho_jeans_clara_96060127_1_6122cf5c45796cbcbce96d6e8f37ff23.jpg,https://www.daksuljeans.com.br/feminino/calca/wide-leg/calca-feminina-whide-leg-fit-com-rasgo-no-joelho-jeans-clara,11-04-2022
