name,price,category,composition,color,gender,description,img_url,url,scrapped-at
Camisa Levi's Classic Pocket Standard,"R$ 209,90",Camisa,100% Algodão,Colorido,Masculino,Código: 866270077 Produto: Camisa Levi's Classic Pocket Standard Categoria: Camisas Cor / Lavagem: Colorido Manga: Curta Bolso: Sim Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/442089-640-640/866270077_1.jpg?v=637660448649900000,https://www.levi.com.br/camisa-levis-classic-pocket-standard-8662700770077/p,12-04-2022
Camiseta Levi's Housemark Graphic Tee,"R$ 109,90",Camiseta,100% Algodão,Vermelho,Masculino,Código: 224892187 Produto: Camiseta Levi's Housemark Graphic Tee Categoria: Camisetas Cor / Lavagem: Vermelho Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/434568-640-640/LB0012187_1.jpg?v=637650701039700000,https://www.levi.com.br/camiseta-levis-housemark-graphic-tee-lb00121872187/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 119,90",Camiseta,100% Algodão,Roxo,Masculino,Código: 161432207 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Roxo Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/425129-640-640/LB0012207_1.jpg?v=637642033345730000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00122072207/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 109,90",Camiseta,100% Algodão,Azul,Masculino,Código: 161432226 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Azul Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/425122-640-640/LB0012226_1.jpg?v=637642033300070000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00122262226/p,12-04-2022
Camiseta Levi's Vintage Fit,"R$ 119,90",Camiseta,100% Algodão,Amarelo,Masculino,Código: 873738051 Produto: Camiseta Levi's Vintage Fit Categoria: Camisetas Cor / Lavagem: Amarelo Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/425144-640-640/LB0018051_1.jpg?v=637642033431430000,https://www.levi.com.br/camiseta-levis-vintage-fit-lb00180518051/p,12-04-2022
Camiseta Levi's Vintage Fit,"R$ 119,90",Camiseta,100% Algodão,Verde,Masculino,Código: 873738052 Produto: Camiseta Levi's Vintage Fit Categoria: Camisetas Cor / Lavagem: Verde Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/434643-640-640/LB0018052_1.jpg?v=637650701465100000,https://www.levi.com.br/camiseta-levis-vintage-fit-lb00180528052/p,12-04-2022
Tênis Bristol,"R$ 144,95",Tênis,Cabedal: Poliuretano E Suede Sintético / Sola: Eva + Borracha Termoplástica / Forro: Mesh (Nylon) / Palmilha: Camurça Anatômica,Preto,Masculino,Código: LBF120001 Produto: Tênis Bristol Categoria: Tênis Cor / lavagem: Preto Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/285776-640-640/LBF1200010001_01.jpg?v=636700381255230000,https://www.levi.com.br/tenis-bristol-lbf1200010001/p,12-04-2022
Camiseta Levi's Original,"R$ 119,90",Camiseta,100% Algodão,Cinza,Masculino,Código: 566050011 Produto: Camiseta Levi's Original Categoria: Camisetas Cor / Lavagem: Cinza Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/308594-640-640/LB00200110011_01.jpg?v=636906085406970000,https://www.levi.com.br/camiseta-levis-original-lb00200110011/p,12-04-2022
Camiseta Levi's Pokémon,"R$ 84,95",Camiseta,100% Algodão,Preto,Masculino,Código: 591940003,https://lojalevis.vteximg.com.br/arquivos/ids/408726-640-640/591940003_1.jpg?v=637491918153730000,https://www.levi.com.br/camiseta-levis-pokemon-5919400030003/p,12-04-2022
Polo Levi's Batwing,"R$ 169,90",Polo,100% Algodão,Preto,Masculino,Código: 359590012 Produto: Polo Levi's Batwing Categoria: Polos Cor / Lavagem: Preto Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/451158-640-640/PC9359590012_1.jpg?v=637721441137700000,https://www.levi.com.br/polo-levis-batwing-3595900120012/p,12-04-2022
Camiseta Levi's Red Tab Vintage,"R$ 139,90",Camiseta,100% Algodão,Azul,Masculino,Código: A06370009 Produto: Camiseta Levi's Red Tab Vintage Categoria: Camisetas Cor / Lavagem: Azul Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/434198-640-640/A06370009_1.jpg?v=637650698847400000,https://www.levi.com.br/camiseta-levis-red-tab-vintage-a063700090009/p,12-04-2022
Camiseta Levi's Housemark Graphic Tee,"R$ 109,90",Camiseta,100% Algodão,Verde,Masculino,Código: 224892186 Produto: Camiseta Levi's Housemark Graphic Tee Categoria: Camisetas Cor / Lavagem: Verde Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/434577-640-640/LB0012186_1.jpg?v=637650701087770000,https://www.levi.com.br/camiseta-levis-housemark-graphic-tee-lb00121862186/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 109,90",Camiseta,100% Algodão,Azul,Masculino,Código: 161432217 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Azul Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/434518-640-640/LB0012217_1.jpg?v=637650700742400000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00122172217/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 119,90",Camiseta,100% Algodão,Branco,Masculino,Código: 161432213 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Branco Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/451180-640-640/PC9LB0012213_01.jpg?v=637721441277100000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00122132213/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 109,90",Camiseta,100% Algodão,Amarelo,Masculino,Código: 161432222 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Amarelo Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/434503-640-640/LB0012222_1.jpg?v=637650700667900000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00122222222/p,12-04-2022
Camiseta Levi's Vintage Fit,"R$ 119,90",Camiseta,100% Algodão,Branco,Masculino,Código: 873738054 Produto: Camiseta Levi's Vintage Fit Categoria: Camisetas Cor / Lavagem: Branco Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/442616-640-640/LB0018054_1.jpg?v=637660451453430000,https://www.levi.com.br/camiseta-levis-vintage-fit-lb00180548054/p,12-04-2022
