name,price,gender,category,composition,leather,description,img_url,url,scrapped-at
Vestido Chemise Jeans com Abotoamento,449,Feminino,Midi,"Algodão 33%, Viscose 67%",Jeans,O vestido chemise jeans por si só basta e garante um ar mais,https://damyller.vteximg.com.br/arquivos/ids/556452-980-1470/Vestido-Chemise-Jeans-com-Abotoamento-Frente--.jpg?v=637207497070300000,https://www.damyller.com.br/vestido-chemise-jeans-com-abotoamento-9i0r831/p,11-04-2022
Calça Jeans Jegging com Zíper na Barra,349,Feminino,Jegging,"Algodão 73%, Poliéster 25%, Elastano 2%",Jeans,O zíper na barra tira a calça,https://damyller.vteximg.com.br/arquivos/ids/572215-980-1470/Calca-Jeans-Jegging-com-Ziper-na-Barra-Frente--.jpg?v=637359754864670000,https://www.damyller.com.br/calca-jeans-jegging-com-ziper-na-barra-9n0r818/p,11-04-2022
Jardineira Longa Color Feminina,449,Feminino,Jardineira,"Algodão 98%, Elastano 2%",,O item super,https://damyller.vteximg.com.br/arquivos/ids/558093-980-1470/Jardineira-Longa-Color-Feminina-Frente--.jpg?v=637236062793500000,https://www.damyller.com.br/jardineira-longa-color-feminina-9n0f618/p,11-04-2022
Calça Mom Jeans Preta Feminina,249,Feminino,,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,A super,https://damyller.vteximg.com.br/arquivos/ids/557099-980-1470/Calca-Mom-Jeans-Preta-Feminina-Frente--.jpg?v=637219454738530000,https://www.damyller.com.br/calca-mom-jeans-preta-feminina-9n0r875/p,11-04-2022
Camisa com Mangas Bufantes Feminina,199,Feminino,Camisa,"Poliamida 7%, Poliéster 93%",,"A camisa sai óbvio com as mangas bufantes e laço na gola, trazendo um",https://damyller.vteximg.com.br/arquivos/ids/555208-980-1470/Camisa-com-Mangas-Bufantes-Feminina-Frente--.jpg?v=637185589889770000,https://www.damyller.com.br/camisa-com-mangas-bufantes-feminina-9i0mp85/p,11-04-2022
Calça Jegging Cropped Resinada,329,Feminino,Jegging,"Algodão 68%, Poliéster 30%, Elastano 2%",,"Versátil, a calça",https://damyller.vteximg.com.br/arquivos/ids/555016-980-1470/Calca-Jegging-Cropped-Resinada-Frente--.jpg?v=637184987211470000,https://www.damyller.com.br/calca-jegging-cropped-resinada-9n0r810/p,11-04-2022
Jaqueta Parka Jeans Feminina,499,Feminino,Jaqueta,Algodão 100%,Jeans,"A parka é item utilitário e essencial para as produções invernais, pois é prática e quentinha. Aposte em um",https://damyller.vteximg.com.br/arquivos/ids/552218-980-1470/JAQUETA-FEMININA-PARKA-JEANS-Frente--.jpg?v=637177464911470000,https://www.damyller.com.br/jaqueta-parka-jeans-feminina-9i0f661/p,11-04-2022
Saia Jeans Secretária com Fivela,299,Feminino,Média,"Algodão 80%, Poliéster 18%, Elastano 2%",Jeans,Para um,https://damyller.vteximg.com.br/arquivos/ids/554108-980-1470/Saia-Jeans-Secretaria-com-Fivela-Frente--.jpg?v=637184294767600000,https://www.damyller.com.br/saia-jeans-secretaria-com-fivela-9v0r829/p,11-04-2022
Macacão Jeans Azul Medio Cropped,499,Feminino,Macacão,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,O macacão é o item prático do,https://damyller.vteximg.com.br/arquivos/ids/557751-980-1470/Macacao-Jeans-Cropped-Frente--.jpg?v=637227221987270000,https://www.damyller.com.br/macacao-jeans-azul-medio-cropped-9n0r682/p,11-04-2022
Blusa com Babado no Decote Feminina,179,Feminino,Blusas,"Linho 15%, Viscose 85%",Malha,Seu,https://damyller.vteximg.com.br/arquivos/ids/551611-980-1470/9V0HH65_151116_F.jpg?v=637171084062100000,https://www.damyller.com.br/blusa-com-babado-no-decote-feminina-9v0hh65/p,11-04-2022
Saia Jeans Longa com Fenda Frontal,329,Feminino,Longa,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,A saia jeans longa é queridinha das,https://damyller.vteximg.com.br/arquivos/ids/585126-980-1470/Saia-Jeans-Longa-com-Fenda-Frontal-Frente--.jpg?v=637405597507670000,https://www.damyller.com.br/saia-jeans-longa-com-fenda-frontal-9n0r769/p,11-04-2022
Calça Jeans Jegging Cintura Super Alta,349,Feminino,Jegging,Algodão 91% Elastomultiéster 6% Elastano 3%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,Básica e essencial. A calça jeans,https://damyller.vteximg.com.br/arquivos/ids/627895-980-1470/Calca-Jeans-Jegging-Cintura-Super-Alta-Frente--.jpg?v=637632516720370000,https://www.damyller.com.br/calca-jeans-jegging-cintura-super-alta-9n0r740/p,11-04-2022
Calça Clochard Cropped de Linho,399,Feminino,Clochard,"Linho 26%, Viscose 72%, Elastano 2%",Malha,A calça de alfaiataria é versátil e pode ser usada em qualquer,https://damyller.vteximg.com.br/arquivos/ids/599828-980-1470/Calca-Clochard-Cropped-de-Linho-Frente--.jpg?v=637507925359900000,https://www.damyller.com.br/calca-clochard-cropped-de-linho-9n0hh37/p,11-04-2022
Blusa com Gola de Malha Canelada,89,Feminino,Blusas,"Poliéster 96%, Elastano 4%",Malha,A blusa de,https://damyller.vteximg.com.br/arquivos/ids/569552-980-1470/Blusa-com-Gola-de-Malha-Canelada-Frente--.jpg?v=637346476746730000,https://www.damyller.com.br/blusa-com-gola-de-malha-canelada-9v0hf79/p,11-04-2022
Short Jeans de Cintura Alta com Lenço,299,Feminino,Médio,Algodão 100%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,"O short básico sai do óbvio com o lenço estampado no cós, deixando a peça super",https://damyller.vteximg.com.br/arquivos/ids/645498-980-1470/Short-Jeans-de-Cintura-Alta-com-Lenco-Frente--.jpg?v=637713631105030000,https://www.damyller.com.br/short-jeans-de-cintura-alta-com-lenco-9v0r696/p,11-04-2022
Saia Jeans Secretária,249,Feminino,Média,Algodão 98% Elastano 2%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,A saia média é o item que não pode faltar no,https://damyller.vteximg.com.br/arquivos/ids/584748-980-1470/Saia-Jeans-Secretaria-Frente--.jpg?v=637405436520330000,https://www.damyller.com.br/saia-jeans-secretaria-9v0f522/p,11-04-2022
Top Cropped com Detalhe de Arco,149,Feminino,,Frente E Costas: Poliéster 98% Algodão 2%. Mangas: Poliéster 100%,Malha,O top cropped é a peça que não pode faltar no,https://damyller.vteximg.com.br/arquivos/ids/570291-980-1470/Top-Cropped-com-Detalhe-de-Arco-Frente--.jpg?v=637351681673200000,https://www.damyller.com.br/top-cropped-com-detalhe-de-arco-9v0mo85/p,11-04-2022
Short Jeans Escuro Feminino,269,Feminino,Médio,Algodão 82% Poliéster 16% Elastano 2%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,"Muito conforto e estilo em uma única peça, o short de malha denim é ideal para dias corridos e de pouca produção. Aposte com uma camiseta e um tênis para um",https://damyller.vteximg.com.br/arquivos/ids/583403-980-1470/Short-Jeans-Escuro-Feminino-Frente--.jpg?v=637400081014300000,https://www.damyller.com.br/short-jeans-escuro-feminino-9v0r674/p,11-04-2022
Saia Jeans Secretária com Fenda,249,Feminino,Média,Algodão 100%,Jeans,A,https://damyller.vteximg.com.br/arquivos/ids/528744-980-1470/Saia-Jeans-Secretaria-com-Fenda-Frente--.jpg?v=637054628178800000,https://www.damyller.com.br/saia-jeans-secretaria-com-fenda-9v0mo34/p,11-04-2022
Vestido de Malha Canelada,199,Feminino,Médio,"Viscose 92%, Elastano 8%",Malha,Básico e essencial. O vestido de malha canelada tem o poder de deixar qualquer produção com um,https://damyller.vteximg.com.br/arquivos/ids/540971-980-1470/Vestido-de-Malha-Canelada-Frente--.jpg?v=637112414831570000,https://www.damyller.com.br/vestido-de-malha-canelada-9v0f440/p,11-04-2022
Calça Jeans Jegging Cropped Destroyed,449,Feminino,Jegging,"Algodão 98%, Elastano 2%",Jeans,A calça,https://damyller.vteximg.com.br/arquivos/ids/646568-980-1470/Calca-Jeans-Jegging-Cropped-Destroyed-Frente--.jpg?v=637715613216370000,https://www.damyller.com.br/calca-jeans-jegging-cropped-destroyed-9n0r549/p,11-04-2022
Calça Jegging Cropped Branca Feminina,229,Feminino,Jegging,"Algodão 97%, Elastano 3%",Malha,"A calça branca vai do básico ao formal em um piscar de olhos, dependendo da composição ela encara qualquer produção com maestria. Aposte com uma camisa e arremate um salto para um",https://damyller.vteximg.com.br/arquivos/ids/528351-980-1470/Calca-Jegging-Cropped-Branca-Feminina-Frente--.jpg?v=637051890614330000,https://www.damyller.com.br/calca-jegging-cropped-branca-feminina-9n0r606/p,11-04-2022
Calça Jeans Jegging com Frisos Feminina,279,Feminino,Jegging,"Algodão 75%, Poliéster 23%, Elastano 2%",Jeans,A calça,https://damyller.vteximg.com.br/arquivos/ids/614771-980-1470/Calca-Jeans-Jegging-Barra-Assimetrica-Frente--.jpg?v=637551620124800000,https://www.damyller.com.br/calca-jeans-jegging-com-frisos-feminina-9n0q197/p,11-04-2022
Calça Jeans Jegging com Detalhe Lateral,289,Feminino,Jegging,"Algodão 98%, Elastano 2%",Jeans,A jegging ganha um,https://damyller.vteximg.com.br/arquivos/ids/646407-980-1470/Calca-Jeans-Jegging-com-Detalhe-Lateral-Frente--.jpg?v=637715589772700000,https://www.damyller.com.br/calca-jeans-jegging-com-detalhe-lateral-8n0r270/p,11-04-2022
Blusa Canelada Ombro a Ombro Feminina,109,Feminino,,"Poliéster 63%, Viscose 34%, Elastano 3%",,O,https://damyller.vteximg.com.br/arquivos/ids/544569-980-1470/Blusa-Canelada-Ombro-a-Ombro-Feminina-Frente--.jpg?v=637124401584170000,https://www.damyller.com.br/blusa-canelada-ombro-a-ombro-feminina-8v0xl53/p,11-04-2022
