name,price,composition,age,category,gender,description,url,scrapped-at
Short Borboleta Voa Voa,"99,95","SHORT EM MATELASSE 20% ALGODÃO, 77% POLIÉSTER E 3% ELASTANO",Criança - 1 a 10 Anos,"Shorts, Saias, Shorts-Saia e Bermudas",Meninas,"""Short preto com babado. Confeccionado em matelasse, ideal para brincadeiras com os amiguinhos e passeios em família! Confortável e estiloso, o Short Borboleta Voa Voa é confeccionado em tecido matelasse preto, com detalhe transpassado e aplicação emborrachada de laço na barra. Além disso, a peça conta com elástico no cós, o que traz conforto e liberdade para as pequenas realizarem sua tarefas e brincadeiras do melhor jeito possível!""",https://www.alphabeto.com/short-borboleta-voa-voa-55380/p,11-04-2022
Bata Lhama Love,"109,95",BATA EM TECIDO 100% VISCOSE,Criança - 1 a 10 Anos,"L, Regata e Bata",Meninas,"""Bata azul, com babado e botões. Confeccionada em viscose, ideal para finais de semana! Charmosa e estilosa, a Bata Lhama Love fica perfeita quando combinada com shortinhos e saias! A peça é confeccionada em viscose, com aparência e cor de jeans, e possui babadinhos no decote. Além disso a batinha possui detalhe de lhama e botões de madeira por todo seu comprimento!""",https://www.alphabeto.com/bata-lhama-love-55390/p,11-04-2022
Short Jardim de Borboletas,"149,95","10 a 12 anos, SHORT EM TECIDO 98% ALGODÃO E 2% ELASTANO",Miniteen - 10 a 14 Anos,"Shorts, Saias, Shorts-Saias e Bermudas",Meninas,"""Short rosa, confeccionado em sarja com elastano. Ótimo para dias mais quentes! O Short Jardim de Borboletas é confeccionado em sarja rosa, com bolsos frontais e posteriores. A peça também possui botão de metal e passador de cinto. Super confortável e versátil, o shortinho fica perfeito com blusinhas e regatas, perfeito para passeios com os amigos!""",https://www.alphabeto.com/short-jardim-de-borboletas-55319/p,11-04-2022
Body M/c Lhama Love,"69,95",BODY EM 1/2 MALHA 100% ALGODÃO,Bebês - 0 a 12 Meses,Bodies,Meninas,"""Body de meia manga branco. Confeccionado em meia malha 100% algodão, ideal para compor looks com shortinhos, calças e saias. Os Bodies são peças fundamentais no guarda-roupa dos pequenos. Lisos ou estampados, são perfeitos para combinar com outras peças de roupa, e super versáteis durante todas as estações do ano. E o Body Lhama Love conta com abotoamento entrepernas e maguinha recortada, com detalhes de lacinhos rosas. Super confortável e macio ao toque dos bebês, o que garante a proteção e aconchego das princesinhas durante o dia todo. Além de ser uma ótima dica de presente para as pequeninas!""",https://www.alphabeto.com/body-m-c-lhama-love-55392/p,11-04-2022
Conjunto Borboleta Voa Voa,"149,95",CONJUNTO DE VESTIDO E CALCINHA EM POPELINE 100% ALGODÃO,Bebês - 0 a 12 Meses,Conjuntos e Kits (exceto Conj.Vestido e Calcinha),Meninas,"""Conjunto de Vestido e calcinha rosa, estampado, confeccionado em popeline. O Conjunto Borboleta Voa Voa é perfeito para ocasiões especiais! O conjunto é composto por um lindo vestidinho estampado colorido e uma calcinha de mesma estampa com elástico no cós. As peças são confeccionadas em popeline, e o vestido possui modelagem godê e manguinhas com detalhes de lacinhos, o que acrescenta charme à peça. O conjunto é super confortável e versátil para a rotina dos bebês.""",https://www.alphabeto.com/conjunto-borboleta-voa-voa-55385/p,11-04-2022
Vestido Castelo de Boneca,"169,95",VESTIDO JEANS 33% ALGODÃO E 67% VISCOSE,Criança - 1 a 10 Anos,Vestidos,Meninas,"""Vestido com botões. Confeccionado em tecido jeans, perfeito para passeios com a família! Muito charmoso, o Vestido Castelo de Bonecas, chegou para alegrar o guarda-roupa das pequenas! A peça é confeccionada em jeans molinho e confortável, com meia manga e gola esporte, o vestidinho é elegante e possui um ótimo caimento. Além de possuir botões de pressão frontais por todo comprimento e bolsinho com bordado no busto.""",https://www.alphabeto.com/vestido-castelo-de-boneca-55373/p,11-04-2022
Conjunto Castelo de Boneca,"139,95",CONJUNTO DE VESTIDO E CALCINHA EM POPELINE 100% ALGODÃO,Bebês - 0 a 12 Meses,Conjuntos e Kits (exceto Conj.Vestido e Calcinha),Meninas,"""Conjunto de Vestido e calcinha rosa, estampado, confeccionado em popeline. O Conjunto Castelo de Boneca é perfeito para ocasiões especiais! O conjunto possui um lindo vestidinho estampado em tons de rosa e uma calcinha de mesma estampa com elástico no cós. As peças são confeccionadas em popeline, e o vestido possui modelagem godê e manguinhas com detalhes de lacinhos, o que acrescenta charme à peça. O vestido possui abotoamento nas costas e um lindo detalhe de laço na cintura.""",https://www.alphabeto.com/conjunto-castelo-de-boneca-55377/p,11-04-2022
Conjunto Borboleta Voa Voa,"149,95",VESTIDO EM MALHA 67% ALGODÃO E 33% POLIÉSTER E VESTIDO EM TULE 100% POLIÉSTER,Criança - 1 a 10 Anos,Conjuntos e Kits,Meninas,"""Conjunto de vestido duplo preto e cinza. Confeccionado em tule, com forro de malha, perfeito para curtir finais de semana! O Conjunto Borboleta Voa Voa é composto por dois vestidos: um vestidinho de meia manga de malha cinza e um vestido amplo de alcinhas de tule preto, com detalhe bordado no busto. O vestido cinza serve como forro para o vestido preto de tule, deixando o look super charmoso.""",https://www.alphabeto.com/-conjunto-borboleta-voa-voa-55383/p,11-04-2022
Vestido Borboleta Voa Voa,"189,95",VESTIDO COM PALA FRENTE 97% POLIÉSTER E 3% ELASTANO E O RESTANTE EM POPELINE 100% ALGODÃO,Criança - 1 a 10 Anos,Vestidos,Meninas,"""Vestido com estampa colorida, confeccionado em popeline. Perfeito para finais de semana com a família! Cheio de Charme, o Vestido Borboleta Voa Voa promete transformar as pequenas em verdadeiras princesas! Com estampa colorida de borboleta, a peça possui modelagem evasê e detalhe de borboleta e laço no busto. O vestidinho é confeccionado em popeline 100% algodão, possui manguinhas amplas e decote coração, muito confortável e estiloso!""",https://www.alphabeto.com/vestido-borboleta-voa-voa-55378/p,11-04-2022
Pimpão Infantil Menina Estampa Batendo Asas – Tam. 3 a 12 meses – Rosa,"89,95",PIMPÃO 1/2 MALHA 100% ALGODÃO,Bebês - 0 a 12 Meses,"Macacão, Pimpão, Macaquinho, Jardineira e Jumper",Meninas,"Pimpão infantil rosa para bebês meninas de 3 a 12 meses, confeccionado em ½ malha 100% algodão. ideal para o dia a dia das pequeninas! Uma fofura, o pimpão infantil “Batendo Asas” possui estampa rosa de borboletas, manguinhas curtas e modelagem soltinha, que permite que as pequenas brinquem e engatinhem com todo conforto. Além disso, a peça conta com abotoamento entrepernas e detalhes de babadinhos na cintura, o que acrescenta charme à peça! Sua confecção em 1/2 malha 100% algodão proporciona leveza e conforto, sendo a opção perfeita para dias mais quentes. Fofura e conforto em um único look!",https://www.alphabeto.com/pimpao-batendo-asas-55501/p,11-04-2022
