name,price,composition,gender,category,description,img_url,url,scrapped-at
Rib Pompom,"R$ 89,00",97% Algodão 3% Elastano,Meninas,Camiseta,"Camiseta infantil desenvolvida em tecido 100% algodão , com mangas curtas, e os desenhos coloridos do silk Igarapé.",https://lojafabula.vteximg.com.br/arquivos/ids/573111-799-1000/510770_17062_1-RIB-POMPOM.jpg?v=637795261480200000,https://www.afabula.com.br/rib-pompom-est-pompom-fundo-off-5-10770-17062/p,11-04-2022
Meia Calca Legging Xadrez,"R$ 89,00",Indefinida,Meninas,Calça,,https://lojafabula.vteximg.com.br/arquivos/ids/579248-799-1000/510939_0000_1-MEIA-CALCA-LEGGING-XADREZ.jpg?v=637825356223530000,https://www.afabula.com.br/meia-calca-legging-xadrez-colorido-5-10939-0000/p,11-04-2022
Meia Calca Estrelas,"R$ 89,00",Indefinida,Meninas,Calça,,https://lojafabula.vteximg.com.br/arquivos/ids/573555-799-1000/510940_0000_1-MEIA-CALCA-ESTRELAS.jpg?v=637795263139930000,https://www.afabula.com.br/meia-calca-estrelas-colorido-5-10940-0000/p,11-04-2022
Kit Pulseira Flor Linda,"R$ 79,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/575080-799-1000/511418_0000_1-KIT-PULSEIRA-FLOR-LINDA.jpg?v=637795278358700000,https://www.afabula.com.br/kit-pulseira-flor-linda-colorido-5-11418-0000/p,11-04-2022
Mochila Tamarindo,"R$ 259,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/584020-799-1000/511420_0000_1-MOCHILA-TAMARINDO.jpg?v=637842510954130000,https://www.afabula.com.br/mochila-tamarindo-colorido-5-11420-0000/p,11-04-2022
Mochila Braba,"R$ 259,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/575082-799-1000/511421_0000_1-MOCHILA-BRABA.jpg?v=637795278373700000,https://www.afabula.com.br/mochila-braba-colorido-5-11421-0000/p,11-04-2022
Kit Pulseira Flores Coloridas,"R$ 80,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/575846-799-1000/510885_0000_1-KIT-PULSEIRA-FLORES-COLORIDAS.jpg?v=637801281133900000,https://www.afabula.com.br/kit-pulseira-flores-coloridas-colorido-5-10885-0000/p,11-04-2022
Legging Lycra Bolha De Sabão,"R$ 129,00",82% Poliamida 18% Elastano,Meninas,Calça,,https://lojafabula.vteximg.com.br/arquivos/ids/577672-799-1000/510999_17061_1-LEGGING-LYCRA-BOLHA-DE-SABAO.jpg?v=637813361210300000,https://www.afabula.com.br/legging-lycra-bolha-de-sabao-est-bolha-de-sabao-fundo-preto---5-10999-17061/p,11-04-2022
Pochete Fui Lagarta,"R$ 198,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/581941-799-1000/512340_17074_1-POCHETE-FUI-LAGARTA.jpg?v=637840675378470000,https://www.afabula.com.br/pochete-fui-lagarta-est-fui-lagarta-fundo-colorido---5-12340-17074/p,11-04-2022
Mini Mochila Pelúcia,"R$ 198,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/582022-799-1000/512349_17279_1-MINI-MOCHILA-PELUCIA.jpg?v=637840675949200000,https://www.afabula.com.br/mini-mochila-pelucia-est-pelucia-bento-fundo-preto---5-12349-17279/p,11-04-2022
Blusa Duda,"R$ 159,00",100% Viscose,Meninas,Blusa / Bata,,https://lojafabula.vteximg.com.br/arquivos/ids/570683-799-1000/511369_17018_1-BLUSA-DUDA.jpg?v=637795234524200000,https://www.afabula.com.br/blusa-duda-est-duda-fundo-lilas-aurora-5-11369-17018/p,11-04-2022
Arco Bichos,"R$ 58,80",100% Algodão,Meninas,Acessório,"Asas para a imaginação e orelhas de coelho para a cabeça: o arco bichos todo forrado em algodão, deixa o look infantil ainda mais divertido!",https://lojafabula.vteximg.com.br/arquivos/ids/546358-799-1000/505807_7002_1-ARCO-BICHOS.jpg?v=637675028931700000,https://www.afabula.com.br/arco-bichos-amarelo-kiiro-5-05807-7002/p,11-04-2022
